673,"1)  Brokerage commissions that typically apply to the small transactions usually made by individual investors are based on  ",1,70,multiple
674,"2)  The chance that an investments value will decrease is referred to as  ",2,70,multiple
675,"3)  The savings accumulated in a permanent life insurance policy that you would receive if you canceled your policy is  ",3,70,multiple
676,"4)  Income taxes are due on _________  ",4,70,multiple
677,"5)  Interest on _________ can be deducted on income taxes  ",5,70,multiple
678,"6)  ________ security certificates are issued in the brokerage firms name but held in trust for its client who actually owns them.  ",6,70,multiple
679,"7)  Stock dividends stated as a percentage of the current stock price are referred to as  ",7,70,multiple
680,"8)  _____ stocks receive dividends first before other forms of stock.  ",8,70,multiple
681,"9)  Shares in a company whose earnings are expected to grow at an above-average rate relative to the market represent a  ",9,70,multiple
682,"10)  The _________ measures inflationdeflation for basic consumer goods and services.  ",10,70,multiple
683,"11)  A mutual fund that tries to match the performance of a particular securities index by investing in the companies included in that index is a(n)  ",11,70,multiple
684,"12)  This investment product offers diversity and professional management.  ",12,70,multiple
685,"13)  ______ can be exchanged for a certain number of shares of the issuers common stock.  ",13,70,multiple
686,"14)  _____ bonds are backed by collateral.  ",14,70,multiple
687,"15)  The illegal and unethical practice engaged by a broker to increase commissions by causing excessive trading of clients accounts is called  ",15,70,multiple
703,1. The definition of promotional advertising is...,1,73,dropdown
704,2. What does accounting and finance function include?,2,73,multiple
705,"3. The lifestyle, values, and beliefs that are common to a group of people are known as _________.",3,73,multiple
706,4. A business will miss some customers if it has not placed information on the Internet about its,4,73,multiple
707,5.What is the highest possible price that can be charged determined by?,5,73,dropdown
708,1. Advertising plans are carefully developed because _______. (Choose all that apply),1,74,checkbox
709,2. Which of the following is not a common way to organize marketing functions?,2,74,multiple
710,3.Coca-Cola test marketed Coke by conducting taste testing in focus groups. This is risk management.,3,74,multiple
711,"4. After completing his business plan, Russell decided to research and pursue possible sources of capital for his new business. Which marketing function is he implementing?",4,74,multiple
712,5. Many grocery stores have made the decision to accept credit cards for payment of merchandise.  Which marketing function does this decision represent?,5,74,multiple
713,"2. The definition of primary market is ""where securities are issued to raise capital for the issuer""",2,75,multiple
714,1. What is the definition of IPO?,1,75,dropdown
715,3.  _____ is a small company financial index,3,75,multiple
716,4.Less than 100 shares of stock is a(n),4,75,multiple
717,5. The tax form that lists your interest earnings for the year is the (Choose all that apply),5,75,checkbox
718,1. A method of spreading individual risk among a large group of people to make losses more affordable for all is referred to as,1,76,multiple
719,2. Dying without a will is called an obituary,2,76,multiple
720,3.  Loans for homes and land are called ___,3,76,dropdown
721,4. An increase in the value of an asset is called (Choose all that apply),4,76,checkbox
722,5. Stocks that have a consistent history of paying high dividends are,5,76,multiple
738,"1.  From a business perspective, all of the following are disadvantages of TV broadcasting EXCEPT:",1,79,multiple
739,"2. A ""hard news"" story _____",2,79,checkbox
740,3. Which street name should NOT be abbreviated according to AP Style?,3,79,dropdown
741,4.When someone does NOT give credit for words and ideas that is called what?,4,79,multiple
742,5. Which government agency requires pharmaceutical ads contain disclosures when broadcast on TV:,5,79,multiple
863,"1)  Marketing helps individuals improve their  ",1,88,multiple
864,"2)  Marketing information is used by a specialty advertising business  ",2,88,multiple
865,"3)  Which statement is true regarding the development of a sales promotion plan?  ",3,88,multiple
866,"4)  Advertising that directs messages to consumers Internet-enabled devices such as smartphones is called  ",4,88,multiple
867,"5)  Before developing an advertising plan the business should conduct a SWOT analysis. S stands for  ",5,88,multiple
868,"6)  The _____ method is used when an advertising budget is intended to help the business reach specific goals.  ",6,88,multiple
869,"7)  Which of the following is NOT an aspect of psychographic segmentation?  ",7,88,multiple
870,"8)  In a channel of distribution which of the following roles would a realtor play  ",8,88,multiple
871,"9)  Which of the following purchases demonstrates the use of an indirect channel of distribution?  ",9,88,multiple
872,"10)  Our toothpaste fights cavities is an example of a(n)  ",10,88,multiple
873,"11)  The FCC is least likely to handle which of the following consumer complaints?  ",11,88,multiple
874,"12)  Cultural attitudes that highly value the needs of the group over the needs of the individual might likely be found in  ",12,88,multiple
875,"13)  Advertisements that include individuals from multiple cultures use  ",13,88,multiple
876,"14)  Which of the following might NOT be a good fit in an advertising career?  ",14,88,multiple
877,"15)  A You Tube commercial is viewed by 7.5 million viewers. The video has gone  ",15,88,multiple
953,"1)  From a business perspective all of the following are disadvantages of TV broadcasting EXCEPT:  ",1,95,multiple
954,"2)  Social media is allowing users to participate in generating news like never before. Pew Research found all of the following to be true EXCEPT:  ",2,95,multiple
955,"3)  A short audio or video segment produced to advertise an upcoming news bulletin or news items is called a(n):  ",3,95,multiple
956,"4)  News as a product has two important economic features. One feature is that it is non-excludable meaning:  ",4,95,multiple
957,"5)  A hard news story does what?  ",5,95,multiple
958,"6)  Which street name should NOT be abbreviated according to AP Style?  ",6,95,multiple
959,"7)  Which headline is most consistent with AP style in voice structure and format?  ",7,95,multiple
960,"8)  When someone does NOT give credit for words and ideas that is called what?  ",8,95,multiple
961,"9)  Which government agency requires pharmaceutical ads contain disclosures when broadcast on TV:  ",9,95,multiple
962,"10)  A student reporter has been assigned to write a story about a new science teacher at the school. The reporter has created a list of questions to ask the teacher during the interview. Midway through the interview the teacher mentions an interesting and unusual job she once had as a scientist on an Arctic expedition. The reporters best response would be to:  ",10,95,multiple
963,"11)  Which is the best example of a student editor of a student-produced newspaper applying the ethical principle of seeking truth and reporting it?  ",11,95,multiple
964,"12)  What modern event coincided with a huge loss of trust in mass media?  ",12,95,multiple
965,"13)  Congratulations on becoming the movie reviewer! To prepare for your first review you should:  ",13,95,multiple
966,"14)  An editorial board is defined as:  ",14,95,multiple
967,"15)  Who is NOT a historical figure of journalism?  ",15,95,multiple
