"2401","A) marginal performance  ","0","673"
"2402","B) negotiated commissions  ","0","673"
"2403","C) fixed-commission schedules  ","1","673"
"2404","D) percentage of earnings   ","0","673"
"2405","A) load  ","0","674"
"2406","B) will  ","0","674"
"2407","C) trust  ","0","674"
"2408","D) risk   ","1","674"
"2409","A) gross value  ","0","675"
"2410","B) cash value  ","1","675"
"2411","C) adjusted value  ","0","675"
"2412","D) par value   ","0","675"
"2413","A) January 31  ","0","676"
"2414","B) January 15  ","0","676"
"2415","C) March 1  ","0","676"
"2416","D) April 15   ","1","676"
"2417","A) car loans  ","0","677"
"2418","B) revolving credit cards  ","0","677"
"2419","C) department store credit card charges  ","0","677"
"2420","D) mortgages   ","1","677"
"2421","A) Street name  ","1","678"
"2422","B) Day trader  ","0","678"
"2423","C) Market order  ","0","678"
"2424","D) Insured   ","0","678"
"2425","A) debenture  ","0","679"
"2426","B) market order  ","0","679"
"2427","C) percent yield  ","1","679"
"2428","D) market value   ","0","679"
"2429","A) Participating  ","0","680"
"2430","B) Blue chip  ","0","680"
"2431","C) Common  ","0","680"
"2432","D) Preferred   ","1","680"
"2433","A) high risk company  ","0","681"
"2434","B) defensive company  ","0","681"
"2435","C) growth company  ","1","681"
"2436","D) conservative company   ","0","681"
"2437","A) collateralized mortgage operation  ","0","682"
"2438","B) Gross Domestic Product  ","0","682"
"2439","C) Consumer Product Index  ","1","682"
"2440","D) inflation index   ","0","682"
"2441","A) balance fund  ","0","683"
"2442","B) index fund  ","1","683"
"2443","C) global fund  ","0","683"
"2444","D) growth fund   ","0","683"
"2445","A) stocks  ","0","684"
"2446","B) corporate stock  ","0","684"
"2447","C) mutual fund  ","1","684"
"2448","D) bonds       ","0","684"
"2449","A) Secured bonds  ","0","685"
"2450","B) Debenture bonds  ","0","685"
"2451","C) Savings bonds  ","0","685"
"2452","D) Convertible bonds   ","1","685"
"2453","A) Secured  ","1","686"
"2454","B) Corporate  ","0","686"
"2455","C) Speculative  ","0","686"
"2456","D) Unsecured   ","0","686"
"2457","A) prospecting  ","0","687"
"2458","B) yielding  ","0","687"
"2459","C) turn over  ","0","687"
"2460","D) churning     ","1","687"
"2581","the avenues through which messages are delivered; also known as channels","0","703"
"2582","advertising designed to increase sales","1","703"
"2583","newspapers, magazines, direct mail, signs, and billboards used in advertising","0","703"
"2584","Entrepreneurship","0","704"
"2585","Bonds and Stocks","0","704"
"2586","Developing Budgets","1","704"
"2587","Financing","0","704"
"2588","A) Social Class","1","705"
"2589","B) Social Pyramid","0","705"
"2590","Open Hours","0","706"
"2591","Business Objective","0","706"
"2592","Location","1","706"
"2593","Owner","0","707"
"2594","Consumer","0","707"
"2595","Target Market","1","707"
"2596","It's important have the right impression","1","708"
"2597","Involves a Huge Sum of Money","1","708"
"2598","People don't care","0","708"
"2599","Color","1","709"
"2600","Topic","0","709"
"2601","Value","0","709"
"2602","True","0","710"
"2603","False","1","710"
"2604","Financing","1","711"
"2605","Distribution","0","711"
"2606","Selling","0","711"
"2607","Financing","1","712"
"2608","Selling","0","712"
"2609","Promotion","0","712"
"2610","True","1","713"
"2611","False","0","713"
"2612","a corporation's first sale of stock to public investors, By definition, a primary market transaction","1","714"
"2613","a ""negotiated market"" including NASDAQ and non- NASDAQ securities trading","0","714"
"2614","an investor's expression of interest in purchasing a new issue of securities after reading the prel","0","714"
"2615","NYSE","0","715"
"2616","Russell 2000","0","715"
"2617","S & P 500","1","715"
"2618","Odd lot","1","716"
"2619","Full lot","0","716"
"2620","Partial Lot","0","716"
"2621","1099-INT","1","717"
"2622","1099-DIV","0","717"
"2623","W-4","0","717"
"2624","insurance","0","718"
"2625","return","1","718"
"2626","credit","0","718"
"2627","True","0","719"
"2628","False","1","719"
"2629","short-term loans","0","720"
"2630","mortgages","1","720"
"2631","simple interest loans","0","720"
"2632","asset expansion","0","721"
"2633","asset appreciation","1","721"
"2634","appreciation","1","721"
"2635","growth stocks","0","722"
"2636","income stocks","1","722"
"2637","speculative stocks","0","722"
"2698","Audience share is declining due to ad fragmentation","0","738"
"2699","Proven success record for promoting mass consumer products","1","738"
"2700","Increasing use of DVRs reduces impact of commericals","0","738"
"2701","Lists the bones of the story","1","739"
"2702","Has interviews of everyone involved","0","739"
"2703","Is written from research","0","739"
"2704","35 Cherry St.","0","740"
"2705","26 Rose Ave.","0","740"
"2706","59 Vine Dr.","1","740"
"2707","The Internet","0","741"
"2708","Plagarism","1","741"
"2709","Stealing","0","741"
"2710","FDA","1","742"
"2711","FCC","0","742"
